State,State,Year,Crime Types
0,Aguascalientes,2015,Homicidio
1,Aguascalientes,2015,Homicidio
2,Aguascalientes,2015,Homicidio
3,Aguascalientes,2015,Homicidio
4,Aguascalientes,2015,Homicidio
5,Aguascalientes,2015,Homicidio
6,Aguascalientes,2015,Homicidio
7,Aguascalientes,2015,Homicidio
8,Aguascalientes,2015,Homicidio
9,Aguascalientes,2015,Lesiones
10,Aguascalientes,2015,Lesiones
11,Aguascalientes,2015,Lesiones
12,Aguascalientes,2015,Lesiones
13,Aguascalientes,2015,Lesiones
14,Aguascalientes,2015,Lesiones
15,Aguascalientes,2015,Lesiones
16,Aguascalientes,2015,Lesiones
17,Aguascalientes,2015,Lesiones
18,Aguascalientes,2015,Feminicidio
19,Aguascalientes,2015,Feminicidio
20,Aguascalientes,2015,Feminicidio
21,Aguascalientes,2015,Feminicidio
22,Aguascalientes,2015,Aborto
23,Aguascalientes,2015,Otros delitos que atentan contra la vida y la integridad corporal
24,Aguascalientes,2015,Secuestro
25,Aguascalientes,2015,Secuestro
26,Aguascalientes,2015,Secuestro
27,Aguascalientes,2015,Secuestro
28,Aguascalientes,2015,Secuestro
29,Aguascalientes,2015,Tráfico de menores
30,Aguascalientes,2015,Rapto
31,Aguascalientes,2015,Otros delitos que atentan contra la libertad personal
32,Aguascalientes,2015,Abuso sexual
33,Aguascalientes,2015,Acoso sexual
34,Aguascalientes,2015,Hostigamiento sexual
35,Aguascalientes,2015,Violación simple
36,Aguascalientes,2015,Violación equiparada
37,Aguascalientes,2015,Incesto
38,Aguascalientes,2015,Otros delitos que atentan contra la libertad y la seguridad sexual
39,Aguascalientes,2015,Robo
40,Aguascalientes,2015,Robo
41,Aguascalientes,2015,Robo
42,Aguascalientes,2015,Robo
43,Aguascalientes,2015,Robo
44,Aguascalientes,2015,Robo
45,Aguascalientes,2015,Robo
46,Aguascalientes,2015,Robo
47,Aguascalientes,2015,Robo
48,Aguascalientes,2015,Robo
49,Aguascalientes,2015,Robo
50,Aguascalientes,2015,Robo
51,Aguascalientes,2015,Robo
52,Aguascalientes,2015,Robo
53,Aguascalientes,2015,Robo
54,Aguascalientes,2015,Robo
55,Aguascalientes,2015,Robo
56,Aguascalientes,2015,Robo
57,Aguascalientes,2015,Robo
58,Aguascalientes,2015,Robo
59,Aguascalientes,2015,Robo
60,Aguascalientes,2015,Robo
61,Aguascalientes,2015,Robo
62,Aguascalientes,2015,Robo
63,Aguascalientes,2015,Robo
64,Aguascalientes,2015,Robo
65,Aguascalientes,2015,Robo
66,Aguascalientes,2015,Robo
67,Aguascalientes,2015,Robo
68,Aguascalientes,2015,Robo
69,Aguascalientes,2015,Robo
70,Aguascalientes,2015,Robo
71,Aguascalientes,2015,Robo
72,Aguascalientes,2015,Robo
73,Aguascalientes,2015,Robo
74,Aguascalientes,2015,Robo
75,Aguascalientes,2015,Fraude
