State,Entidad,Año,Total Delitos
0,Aguascalientes,2015,23212.0
1,Aguascalientes,2016,23729.0
2,Aguascalientes,2017,33548.0
3,Aguascalientes,2018,38834.0
4,Aguascalientes,2019,38429.0
5,Aguascalientes,2020,33626.0
6,Aguascalientes,2021,35645.0
8,Baja California,2015,119944.0
9,Baja California,2016,109109.0
10,Baja California,2017,111722.0
11,Baja California,2018,103028.0
12,Baja California,2019,104013.0
13,Baja California,2020,92168.0
14,Baja California,2021,98085.0
16,Baja California Sur,2015,21415.0
17,Baja California Sur,2016,24606.0
18,Baja California Sur,2017,24174.0
19,Baja California Sur,2018,23438.0
20,Baja California Sur,2019,22644.0
21,Baja California Sur,2020,18254.0
22,Baja California Sur,2021,18677.0
24,Campeche,2015,1886.0
25,Campeche,2016,2237.0
26,Campeche,2017,2056.0
27,Campeche,2018,2157.0
28,Campeche,2019,2312.0
29,Campeche,2020,2003.0
30,Campeche,2021,5611.0
32,Chiapas,2015,21618.0
33,Chiapas,2016,22189.0
34,Chiapas,2017,25364.0
35,Chiapas,2018,28892.0
36,Chiapas,2019,23294.0
37,Chiapas,2020,17269.0
38,Chiapas,2021,17130.0
40,Chihuahua,2015,61280.0
41,Chihuahua,2016,57904.0
42,Chihuahua,2017,68819.0
43,Chihuahua,2018,68898.0
44,Chihuahua,2019,71837.0
45,Chihuahua,2020,66831.0
46,Chihuahua,2021,72999.0
48,Ciudad de México,2015,169701.0
49,Ciudad de México,2016,179720.0
50,Ciudad de México,2017,204078.0
51,Ciudad de México,2018,241031.0
52,Ciudad de México,2019,242839.0
53,Ciudad de México,2020,198159.0
54,Ciudad de México,2021,223685.0
56,Coahuila de Zaragoza,2015,46569.0
57,Coahuila de Zaragoza,2016,51242.0
58,Coahuila de Zaragoza,2017,56311.0
59,Coahuila de Zaragoza,2018,56308.0
60,Coahuila de Zaragoza,2019,52937.0
61,Coahuila de Zaragoza,2020,48461.0
62,Coahuila de Zaragoza,2021,56045.0
64,Colima,2015,6562.0
65,Colima,2016,10877.0
66,Colima,2017,24425.0
67,Colima,2018,24494.0
68,Colima,2019,26554.0
69,Colima,2020,25370.0
70,Colima,2021,28368.0
72,Durango,2015,29088.0
73,Durango,2016,32183.0
74,Durango,2017,34851.0
75,Durango,2018,31903.0
76,Durango,2019,30338.0
77,Durango,2020,26024.0
78,Durango,2021,29479.0
80,Guanajuato,2015,95782.0
81,Guanajuato,2016,106265.0
82,Guanajuato,2017,117857.0
83,Guanajuato,2018,133749.0
84,Guanajuato,2019,137658.0
85,Guanajuato,2020,122870.0
86,Guanajuato,2021,134626.0
88,Guerrero,2015,36783.0
89,Guerrero,2016,36561.0
90,Guerrero,2017,32799.0
91,Guerrero,2018,27695.0
92,Guerrero,2019,27344.0
93,Guerrero,2020,23874.0
94,Guerrero,2021,24628.0
96,Hidalgo,2015,27504.0
97,Hidalgo,2016,33754.0
98,Hidalgo,2017,43963.0
99,Hidalgo,2018,51222.0
100,Hidalgo,2019,49750.0
101,Hidalgo,2020,41260.0
102,Hidalgo,2021,46464.0
104,Jalisco,2015,95331.0
105,Jalisco,2016,136820.0
106,Jalisco,2017,166599.0
107,Jalisco,2018,162756.0
108,Jalisco,2019,156654.0
109,Jalisco,2020,126600.0
110,Jalisco,2021,128585.0
112,Michoacán de Ocampo,2015,30899.0
113,Michoacán de Ocampo,2016,32558.0
114,Michoacán de Ocampo,2017,41836.0
115,Michoacán de Ocampo,2018,45190.0
116,Michoacán de Ocampo,2019,46753.0
117,Michoacán de Ocampo,2020,45888.0
118,Michoacán de Ocampo,2021,46877.0
120,Morelos,2015,49245.0
121,Morelos,2016,45448.0
122,Morelos,2017,44329.0
123,Morelos,2018,44936.0
124,Morelos,2019,43191.0
125,Morelos,2020,40491.0
126,Morelos,2021,42301.0
128,México,2015,323525.0
129,México,2016,325038.0
130,México,2017,345693.0
131,México,2018,341028.0
132,México,2019,354602.0
133,México,2020,341278.0
134,México,2021,389493.0
136,Nayarit,2015,6651.0
137,Nayarit,2016,3668.0
138,Nayarit,2017,3220.0
139,Nayarit,2018,4545.0
140,Nayarit,2019,4642.0
141,Nayarit,2020,4165.0
142,Nayarit,2021,5072.0
144,Nuevo León,2015,72350.0
145,Nuevo León,2016,84746.0
146,Nuevo León,2017,83974.0
147,Nuevo León,2018,81125.0
148,Nuevo León,2019,75871.0
149,Nuevo León,2020,78949.0
150,Nuevo León,2021,94321.0
152,Oaxaca,2015,6127.0
153,Oaxaca,2016,31607.0
154,Oaxaca,2017,31938.0
155,Oaxaca,2018,41989.0
156,Oaxaca,2019,43788.0
157,Oaxaca,2020,39061.0
158,Oaxaca,2021,41583.0
160,Puebla,2015,64399.0
161,Puebla,2016,51061.0
162,Puebla,2017,53800.0
163,Puebla,2018,61172.0
164,Puebla,2019,76556.0
165,Puebla,2020,63587.0
166,Puebla,2021,75141.0
168,Querétaro,2015,32817.0
169,Querétaro,2016,42900.0
170,Querétaro,2017,53379.0
171,Querétaro,2018,57809.0
172,Querétaro,2019,60515.0
173,Querétaro,2020,52026.0
174,Querétaro,2021,53944.0
176,Quintana Roo,2015,32496.0
177,Quintana Roo,2016,18958.0
178,Quintana Roo,2017,26518.0
179,Quintana Roo,2018,34043.0
180,Quintana Roo,2019,45896.0
181,Quintana Roo,2020,40751.0
182,Quintana Roo,2021,47753.0
184,San Luis Potosí,2015,21419.0
185,San Luis Potosí,2016,28613.0
186,San Luis Potosí,2017,35179.0
187,San Luis Potosí,2018,38362.0
188,San Luis Potosí,2019,52288.0
189,San Luis Potosí,2020,45808.0
190,San Luis Potosí,2021,51070.0
192,Sinaloa,2015,25812.0
193,Sinaloa,2016,22141.0
194,Sinaloa,2017,22931.0
195,Sinaloa,2018,23486.0
196,Sinaloa,2019,23443.0
197,Sinaloa,2020,23910.0
198,Sinaloa,2021,27386.0
200,Sonora,2015,28659.0
201,Sonora,2016,39423.0
202,Sonora,2017,25969.0
203,Sonora,2018,18197.0
204,Sonora,2019,23438.0
205,Sonora,2020,31090.0
206,Sonora,2021,37301.0
208,Tabasco,2015,57452.0
209,Tabasco,2016,59434.0
210,Tabasco,2017,60395.0
211,Tabasco,2018,58271.0
212,Tabasco,2019,56561.0
213,Tabasco,2020,45014.0
214,Tabasco,2021,48715.0
216,Tamaulipas,2015,44527.0
217,Tamaulipas,2016,48528.0
218,Tamaulipas,2017,47163.0
219,Tamaulipas,2018,44048.0
220,Tamaulipas,2019,42413.0
221,Tamaulipas,2020,31844.0
222,Tamaulipas,2021,36636.0
224,Tlaxcala,2015,8317.0
225,Tlaxcala,2016,6775.0
226,Tlaxcala,2017,6964.0
227,Tlaxcala,2018,6369.0
228,Tlaxcala,2019,4411.0
229,Tlaxcala,2020,4141.0
230,Tlaxcala,2021,4527.0
232,Veracruz de Ignacio de la Llave,2015,45539.0
233,Veracruz de Ignacio de la Llave,2016,42312.0
234,Veracruz de Ignacio de la Llave,2017,66379.0
235,Veracruz de Ignacio de la Llave,2018,60758.0
236,Veracruz de Ignacio de la Llave,2019,89822.0
237,Veracruz de Ignacio de la Llave,2020,79259.0
238,Veracruz de Ignacio de la Llave,2021,88308.0
240,Yucatán,2015,34716.0
241,Yucatán,2016,34288.0
242,Yucatán,2017,24390.0
243,Yucatán,2018,13129.0
244,Yucatán,2019,16419.0
245,Yucatán,2020,8417.0
246,Yucatán,2021,8565.0
248,Zacatecas,2015,16179.0
249,Zacatecas,2016,17136.0
250,Zacatecas,2017,18874.0
251,Zacatecas,2018,21070.0
252,Zacatecas,2019,23952.0
253,Zacatecas,2020,22742.0
254,Zacatecas,2021,25110.0
