State,State,Year,January,February,March,April,May,June,July,August,September,October,November,December,Total Crime
0,Aguascalientes,2015,931,935,1060,944,1030,921.0,959.0,1007.0,972.0,886.0,1011.0,932.0,11588.0
1,Aguascalientes,2016,936,927,1008,1070,1098,846.0,1071.0,1118.0,1003.0,1146.0,1088.0,1123.0,12434.0
2,Aguascalientes,2017,1230,1013,1167,1072,1262,1391.0,1401.0,1539.0,1614.0,1640.0,1604.0,1499.0,16432.0
3,Aguascalientes,2018,1499,1371,1563,1605,1567,1499.0,1675.0,1564.0,1401.0,1460.0,1250.0,1390.0,17844.0
4,Aguascalientes,2019,1441,1250,1340,1362,1416,1265.0,1300.0,1392.0,1296.0,1237.0,1147.0,1145.0,15591.0
5,Aguascalientes,2020,1440,1363,1400,844,963,1084.0,1072.0,943.0,913.0,1009.0,880.0,942.0,12853.0
6,Aguascalientes,2021,1048,1082,1104,890,987,874.0,941.0,936.0,947.0,898.0,953.0,867.0,11527.0
8,Baja California,2015,4305,3731,4118,3930,4064,4220.0,4183.0,4393.0,4253.0,4418.0,4359.0,4315.0,50289.0
9,Baja California,2016,4420,3997,4159,4182,4213,3743.0,3927.0,4405.0,4443.0,4796.0,4580.0,5298.0,52163.0
10,Baja California,2017,5298,4858,5401,5146,5280,4686.0,4971.0,5033.0,4922.0,4771.0,4677.0,4728.0,59771.0
11,Baja California,2018,5066,4304,4671,4701,4600,4176.0,3962.0,4148.0,3945.0,4151.0,4034.0,4121.0,51879.0
12,Baja California,2019,4521,3813,4043,4325,4449,4212.0,4258.0,4354.0,3775.0,4440.0,4262.0,4328.0,50780.0
13,Baja California,2020,4252,3865,4157,2894,2963,3051.0,3401.0,3261.0,3108.0,3229.0,3279.0,3656.0,41116.0
14,Baja California,2021,3764,3522,3595,3473,3291,3318.0,3530.0,3441.0,3346.0,3571.0,3664.0,3777.0,42292.0
16,Baja California Sur,2015,806,787,824,826,808,757.0,739.0,795.0,943.0,887.0,907.0,888.0,9967.0
17,Baja California Sur,2016,956,941,883,873,909,998.0,1027.0,1212.0,1070.0,1057.0,1129.0,1183.0,12238.0
18,Baja California Sur,2017,1175,999,1004,930,1078,1141.0,1007.0,1041.0,986.0,1108.0,940.0,955.0,12364.0
19,Baja California Sur,2018,1008,904,880,893,979,1004.0,910.0,956.0,963.0,1052.0,907.0,977.0,11433.0
20,Baja California Sur,2019,917,799,868,807,754,732.0,773.0,852.0,772.0,798.0,724.0,666.0,9462.0
21,Baja California Sur,2020,730,632,640,396,377,511.0,556.0,424.0,532.0,559.0,495.0,486.0,6338.0
22,Baja California Sur,2021,423,472,510,466,426,447.0,429.0,515.0,457.0,504.0,531.0,547.0,5727.0
24,Campeche,2015,61,77,108,57,96,91.0,72.0,94.0,94.0,114.0,94.0,116.0,1074.0
25,Campeche,2016,104,105,115,112,103,104.0,137.0,114.0,120.0,122.0,111.0,101.0,1348.0
26,Campeche,2017,112,116,92,101,101,107.0,98.0,99.0,92.0,89.0,95.0,103.0,1205.0
27,Campeche,2018,97,103,100,110,91,92.0,100.0,116.0,97.0,108.0,126.0,112.0,1252.0
28,Campeche,2019,107,104,103,96,108,107.0,117.0,128.0,112.0,127.0,119.0,113.0,1341.0
29,Campeche,2020,118,102,107,83,90,81.0,83.0,96.0,94.0,104.0,113.0,102.0,1173.0
30,Campeche,2021,104,103,113,107,116,111.0,113.0,125.0,93.0,110.0,501.0,487.0,2083.0
32,Chiapas,2015,781,861,916,896,867,831.0,815.0,881.0,946.0,936.0,902.0,801.0,10433.0
33,Chiapas,2016,794,770,859,848,896,940.0,983.0,1096.0,1027.0,1020.0,930.0,928.0,11091.0
34,Chiapas,2017,1093,900,902,878,934,963.0,1010.0,1152.0,922.0,951.0,886.0,827.0,11418.0
35,Chiapas,2018,828,810,936,1015,1086,1016.0,1054.0,1096.0,999.0,1140.0,930.0,822.0,11732.0
36,Chiapas,2019,953,852,701,755,715,769.0,791.0,745.0,602.0,616.0,555.0,553.0,8607.0
37,Chiapas,2020,624,525,541,390,380,371.0,532.0,496.0,496.0,483.0,439.0,407.0,5684.0
38,Chiapas,2021,427,404,460,441,487,458.0,472.0,436.0,455.0,588.0,517.0,406.0,5551.0
40,Chihuahua,2015,1687,1753,1900,1680,1647,1679.0,1738.0,1709.0,1713.0,1812.0,1548.0,1640.0,20506.0
41,Chihuahua,2016,1827,1725,1746,1620,1654,1334.0,1299.0,1488.0,1453.0,1870.0,1903.0,1926.0,19845.0
42,Chihuahua,2017,2236,2298,2533,2213,2110,2193.0,2273.0,2478.0,2183.0,2332.0,2213.0,2262.0,27324.0
43,Chihuahua,2018,2393,2424,2346,2260,2249,2074.0,2043.0,2202.0,2101.0,2115.0,1902.0,2037.0,26146.0
44,Chihuahua,2019,2240,2153,2094,2064,2386,2149.0,2390.0,2364.0,2312.0,2327.0,1894.0,1898.0,26271.0
45,Chihuahua,2020,2072,1897,1993,1895,1849,1973.0,2107.0,2122.0,1898.0,1937.0,1788.0,1979.0,23510.0
46,Chihuahua,2021,2017,1852,2059,1771,1820,1684.0,1829.0,1818.0,1700.0,1926.0,1679.0,1809.0,21964.0
48,Ciudad de México,2015,6371,6444,7072,6730,6937,6950.0,7016.0,6686.0,6730.0,7045.0,6643.0,6612.0,81236.0
49,Ciudad de México,2016,6179,6270,6830,6785,6691,6627.0,6930.0,7562.0,7654.0,8186.0,7919.0,7575.0,85208.0
50,Ciudad de México,2017,8335,7732,8375,7765,9034,9319.0,9294.0,9778.0,8789.0,10038.0,9628.0,9598.0,107685.0
51,Ciudad de México,2018,10163,9656,10457,10419,11107,10427.0,11284.0,11836.0,11040.0,12897.0,11846.0,11151.0,132283.0
52,Ciudad de México,2019,11612,10537,10680,9846,10179,9820.0,9792.0,9848.0,9236.0,9576.0,8935.0,8500.0,118561.0
